,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status,score_proba
10913,26,70000,MORTGAGE,0.0,EDUCATION,A,7000,7.88,0.1,N,4,0,0.0197604175101966
21010,32,45000,MORTGAGE,16.0,PERSONAL,A,6000,7.49,0.13,N,6,0,0.030819502657592153
14431,21,31200,RENT,,MEDICAL,A,15000,6.62,0.48,N,3,1,0.8301036024386194
10024,25,65000,MORTGAGE,2.0,MEDICAL,B,10000,10.75,0.15,N,4,0,0.0754247738128766
30633,36,49000,RENT,0.0,DEBTCONSOLIDATION,D,8000,15.31,0.16,Y,13,1,0.8062452740652782
28877,29,68004,RENT,3.0,MEDICAL,B,18000,10.0,0.26,N,10,0,0.24193876777404758
16979,26,90000,MORTGAGE,10.0,PERSONAL,B,13000,10.59,0.14,N,3,0,0.029522332209127523
2685,22,33640,MORTGAGE,4.0,VENTURE,B,12000,10.65,0.36,N,3,0,0.27334042847083
1115,24,133000,RENT,5.0,EDUCATION,B,17400,11.71,0.13,N,4,0,0.0356239115440661
24030,29,69000,MORTGAGE,13.0,MEDICAL,B,15000,10.62,0.22,N,6,0,0.09290413139133219
11175,22,44000,RENT,2.0,VENTURE,D,10000,15.58,0.23,N,3,1,0.7403513991581967
22982,27,39000,RENT,0.0,EDUCATION,C,8000,11.03,0.21,N,9,0,0.24304075007996784
12459,23,81504,MORTGAGE,6.0,DEBTCONSOLIDATION,A,2400,6.92,0.03,N,4,0,0.027228604133621846
15299,22,60000,RENT,5.0,MEDICAL,A,15000,,0.25,N,4,0,0.2518046452113002
12932,23,80000,RENT,1.0,MEDICAL,A,12000,6.62,0.15,N,4,0,0.08870525295898875
31408,37,92000,OWN,15.0,MEDICAL,B,12000,11.14,0.13,N,14,0,0.009153167345911208
17417,24,70399,RENT,0.0,MEDICAL,A,1000,8.59,0.01,N,3,0,0.05363485626067778
1159,26,175000,RENT,2.0,VENTURE,B,17000,9.88,0.1,N,3,0,0.018903412237002554
21323,32,47000,OWN,8.0,VENTURE,A,6000,8.9,0.13,N,5,0,0.004894300351627181
30211,36,38160,RENT,3.0,EDUCATION,C,6000,12.61,0.16,N,17,0,0.1793574470664304
2536,22,33000,OWN,6.0,PERSONAL,B,12000,9.91,0.36,N,2,0,0.10625124210113399
26621,27,36000,RENT,2.0,MEDICAL,B,2000,11.99,0.06,N,8,0,0.1230973787235614
22338,27,31200,RENT,3.0,PERSONAL,B,7000,9.88,0.22,N,9,0,0.2678216112990166
25686,33,96053,RENT,3.0,MEDICAL,E,12000,15.68,0.11,N,6,1,0.6217854186525514
12325,24,38000,RENT,2.0,PERSONAL,C,12000,13.23,0.32,Y,3,1,0.5572238336218175
8562,26,58900,MORTGAGE,8.0,PERSONAL,A,6400,8.63,0.11,N,3,0,0.02857873325401761
20300,33,84996,RENT,2.0,EDUCATION,A,4000,8.59,0.05,N,6,0,0.03241318232825446
30411,36,48000,MORTGAGE,3.0,EDUCATION,C,1500,13.92,0.03,Y,13,1,0.02870138557362467
28918,32,40000,MORTGAGE,16.0,MEDICAL,A,16000,5.99,0.4,N,9,0,0.34970617443305757
12552,25,60000,RENT,3.0,VENTURE,A,12000,5.42,0.2,N,3,0,0.058591232582021806
12577,22,38272,OWN,6.0,MEDICAL,B,4800,9.99,0.13,N,2,0,0.01919083006697906
14124,23,122000,RENT,7.0,DEBTCONSOLIDATION,C,14000,13.48,0.11,Y,2,0,0.11479660307837178
28598,34,67392,MORTGAGE,0.0,DEBTCONSOLIDATION,C,15000,13.85,0.22,Y,8,1,0.18159971055255172
22844,29,58800,MORTGAGE,,VENTURE,B,11400,10.99,0.19,N,9,0,0.043163727088573196
7662,21,25000,RENT,6.0,EDUCATION,B,6925,11.71,0.28,N,3,0,0.40755396527442944
16674,25,50000,MORTGAGE,0.0,VENTURE,A,2600,6.03,0.05,N,3,0,0.010885431219765448
20748,28,38400,RENT,3.0,DEBTCONSOLIDATION,C,5000,13.49,0.13,Y,6,0,0.2898287172995243
1163,23,25000,OWN,5.0,MEDICAL,A,7200,8.49,0.29,N,2,0,0.08464598037659592
6372,25,49200,MORTGAGE,6.0,MEDICAL,A,5600,7.49,0.11,N,2,0,0.044543729658618504
17732,22,50000,RENT,4.0,EDUCATION,A,10000,9.32,0.2,N,3,0,0.11466389165581886
8451,22,70000,RENT,4.0,VENTURE,A,7550,7.51,0.11,N,2,0,0.0346359369614965
30609,36,60000,OWN,0.0,PERSONAL,E,10225,17.51,0.17,Y,13,0,0.21836975729066277
2192,26,71000,RENT,5.0,MEDICAL,B,13500,12.69,0.19,N,3,0,0.19444210958268116
7201,21,52000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,13250,5.99,0.25,N,2,0,0.12765716243855518
3192,24,44000,RENT,3.0,EDUCATION,B,3500,12.69,0.08,N,2,0,0.07475541919632292
2026,21,12000,RENT,0.0,DEBTCONSOLIDATION,C,2200,,0.18,N,3,1,0.48418623416786233
10731,23,70000,MORTGAGE,,EDUCATION,A,10500,7.51,0.15,N,2,0,0.0243148830644586
17474,26,22800,RENT,4.0,PERSONAL,C,5000,13.57,0.22,Y,2,0,0.40629454496149636
4796,23,33017,RENT,1.0,PERSONAL,B,5000,,0.15,N,4,0,0.16778600977985086
7476,24,38112,RENT,2.0,PERSONAL,A,6800,7.68,0.18,N,3,0,0.138151362351035
26081,28,96000,MORTGAGE,5.0,HOMEIMPROVEMENT,D,11250,17.58,0.12,N,5,0,0.49772272906239146
6391,22,37500,RENT,6.0,MEDICAL,B,6000,12.42,0.16,N,2,0,0.25153927330827036
15873,25,220000,MORTGAGE,5.0,VENTURE,B,25000,10.75,0.11,N,2,0,0.004484717256568492
609,23,49400,RENT,0.0,EDUCATION,A,20000,6.54,0.4,N,4,1,0.3492022215047543
27804,30,228000,MORTGAGE,9.0,VENTURE,D,12800,15.33,0.06,N,8,0,0.10051171714269247
828,25,22260,MORTGAGE,9.0,PERSONAL,A,6400,7.88,0.29,N,4,0,0.21867945403333372
10551,25,33500,RENT,2.0,VENTURE,B,10000,10.25,0.3,N,3,0,0.3222899662395952
5675,24,80155,RENT,8.0,MEDICAL,F,5000,,0.05,N,3,1,0.5392350193827282
